id,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,longitude,latitude
44,Grand Tourmalet-​Pic du Midi-La Mongie-​Barèges,France,2500.0,1250.0,42.0,58.0,35.0,7.0,100.0,Yes,No,21.0,15.0,2.0,38.0,40231.0,0.0,9.53,47.17
45,Parsenn (Davos Klosters),Switzerland,2844.0,810.0,61.0,20.0,60.0,16.0,96.0,Yes,No,4.0,6.0,8.0,18.0,26795.0,169.0,9.53,47.17
46,Åre,Sweden,1274.0,380.0,45.0,45.0,38.0,8.0,91.0,Yes,Yes,27.0,5.0,4.0,36.0,39000.0,0.0,9.53,47.17
47,Alto Sangro-Roccaraso-​Rivisondoli,Italy,2141.0,1309.0,41.0,37.0,32.0,20.0,90.0,No,No,11.0,11.0,4.0,26.0,36602.0,0.0,9.53,47.17
48,Chamrousse,France,2250.0,1400.0,34.0,45.0,35.0,10.0,90.0,Yes,Yes,8.0,7.0,1.0,16.0,24398.0,78.0,9.53,47.17
49,Valberg-​Beuil les Launes,France,2020.0,1412.0,32.0,45.0,35.0,10.0,90.0,Yes,No,22.0,7.0,0.0,29.0,25940.0,400.0,9.53,47.17
50,Adelboden-​Lenk-Chuenisbärgli-​Silleren-​Hahnenmoos-​Metsch,Switzerland,1260.0,1072.0,55.0,44.0,38.0,6.0,88.0,Yes,Yes,12.0,8.0,6.0,26.0,34620.0,500.0,9.53,47.17
51,Rinderberg-​Saanerslochgrat-​Horneggli-Zweisimmen-​Saanenmöser-​Schönried-​St. Stephan,Switzerland,2011.0,948.0,54.0,62.0,21.0,4.0,88.0,Yes,Yes,9.0,8.0,4.0,21.0,18360.0,0.0,9.53,47.17
52,Graukogel-Bad Gastein,Austria,2007.0,1079.0,36.0,3.0,6.0,2.0,11.0,No,No,1.0,2.0,0.0,3.0,3352.0,0.0,9.53,47.17
53,Les Portes du Mont-Blanc-Combloux-​Megève le Jaillet-​La Giettaz,France,1835.0,1113.0,35.0,28.0,50.0,7.0,85.0,No,No,16.0,8.0,1.0,25.0,29842.0,0.0,9.53,47.17
54,Le Grand Bornand,France,2100.0,1000.0,37.0,49.0,27.0,8.0,84.0,Yes,Yes,18.0,13.0,2.0,33.0,36904.0,233.0,9.53,47.17
55,Kaltenbach-Hochzillertal-​Hochfügen-SKi-optimal-,Austria,2378.0,600.0,52.0,28.0,41.0,13.0,83.0,Yes,Yes,22.0,12.0,5.0,39.0,59933.0,400.0,9.53,47.17
56,Grimentz-​Zinal,Switzerland,2900.0,1570.0,51.0,26.0,28.0,26.0,80.0,Yes,No,13.0,5.0,3.0,21.0,19345.0,96.0,9.53,47.17
57,Civetta-Alleghe-​Selva di Cadore-​Palafavera-​Zoldo,Italy,2100.0,1000.0,43.0,30.0,44.0,6.0,80.0,Yes,Yes,10.0,10.0,3.0,23.0,33289.0,100.0,9.53,47.17
58,Ax les Thermes,France,1400.0,720.0,37.0,40.0,25.0,15.0,80.0,Yes,No,11.0,6.0,2.0,19.0,21320.0,0.0,9.53,47.17
59,Damüls Mellau,Austria,2050.0,690.0,49.0,37.0,39.0,1.0,79.0,Yes,No,10.0,13.0,2.0,25.0,37160.0,130.0,9.53,47.17
60,Zell am See,Austria,2000.0,760.0,50.0,30.0,28.0,19.0,77.0,Yes,Yes,9.0,10.0,8.0,27.0,48407.0,450.0,9.53,47.17
61,Cerler,Spain,2621.0,1505.0,42.0,35.0,27.0,14.0,76.0,Yes,No,10.0,9.0,0.0,19.0,20670.0,0.0,9.53,47.17
62,Three Peaks Dolomites-Helm-​Stiergarten-​Rotwand-​Kreuzbergpass,Italy,2200.0,1130.0,51.0,17.0,39.0,18.0,75.0,Yes,No,20.0,4.0,6.0,30.0,21535.0,250.0,9.53,47.17
63,Puy St. Vincent,France,2677.0,1407.0,34.0,28.0,34.0,13.0,75.0,Yes,Yes,4.0,8.0,0.0,12.0,17155.0,95.0,9.53,47.17
64,Folgaria-​Fiorentini,Italy,1850.0,1200.0,40.0,36.0,32.0,5.0,74.0,Yes,No,13.0,17.0,0.0,30.0,35900.0,280.0,9.53,47.17
65,Titlis-Engelberg,Switzerland,3020.0,1000.0,57.0,34.0,26.0,12.0,72.0,Yes,No,7.0,6.0,7.0,20.0,23316.0,180.0,9.53,47.17
66,Trysil,Norway,1100.0,415.0,46.0,33.0,18.0,20.0,71.0,Yes,Yes,29.0,7.0,0.0,36.0,36182.0,418.0,9.53,47.17
67,Nauders am Reschenpass-Bergkastel,Austria,2850.0,1400.0,42.0,24.0,34.0,13.0,71.0,Yes,No,11.0,5.0,1.0,17.0,17651.0,92.0,9.53,47.17
68,Grossarltal-​Dorfgastein,Austria,2033.0,850.0,50.0,25.0,43.0,1.0,70.0,Yes,No,7.0,8.0,5.0,20.0,29710.0,0.0,9.53,47.17
69,Katschberg,Austria,2220.0,1066.0,46.0,10.0,50.0,10.0,70.0,Yes,Yes,9.0,6.0,2.0,17.0,26458.0,750.0,9.53,47.17
70,Valfréjus,France,2737.0,1550.0,29.0,40.0,20.0,10.0,70.0,Yes,No,5.0,4.0,1.0,10.0,15800.0,80.0,9.53,47.17
71,Savognin,Switzerland,2713.0,1200.0,50.0,32.0,38.0,0.0,70.0,Yes,Yes,10.0,2.0,1.0,13.0,14000.0,100.0,9.53,47.17
